index,result,time,csm_result,csm_time
chc-lia-lin-0000.smt2,sat,0.01,sat,0.02
chc-lia-lin-0001.smt2,sat,0.01,sat,0.01
chc-lia-lin-0002.smt2,sat,0.02,sat,0.03
chc-lia-lin-0003.smt2,sat,0.03,sat,0.06
chc-lia-lin-0004.smt2,sat,0.05,sat,0.08
chc-lia-lin-0005.smt2,sat,150.43,sat,212.12
chc-lia-lin-0006.smt2,sat,0.01,sat,0.01
chc-lia-lin-0007.smt2,sat,8.72,sat,3.67
chc-lia-lin-0008.smt2,timeout,921.64,sat,0.03
chc-lia-lin-0009.smt2,sat,0.01,sat,0.01
chc-lia-lin-0010.smt2,timeout,925.83,timeout,927.28
chc-lia-lin-0011.smt2,sat,0.01,sat,0.01
chc-lia-lin-0012.smt2,sat,0.02,sat,0.02
chc-lia-lin-0013.smt2,sat,0.04,sat,0.06
chc-lia-lin-0014.smt2,sat,0.02,sat,0.02
chc-lia-lin-0015.smt2,unknown,0.50,unknown,1.66
chc-lia-lin-0016.smt2,sat,0.05,sat,0.09
chc-lia-lin-0017.smt2,sat,0.05,sat,0.08
chc-lia-lin-0018.smt2,sat,0.01,sat,0.01
chc-lia-lin-0019.smt2,timeout,924.57,timeout,924.16
chc-lia-lin-0020.smt2,sat,0.01,sat,0.01
chc-lia-lin-0021.smt2,sat,0.02,sat,0.02
chc-lia-lin-0022.smt2,sat,0.13,sat,0.15
chc-lia-lin-0023.smt2,sat,0.01,sat,0.02
chc-lia-lin-0024.smt2,sat,0.10,sat,1.53
chc-lia-lin-0025.smt2,unsat,0.04,unsat,0.04
chc-lia-lin-0026.smt2,sat,0.02,sat,0.02
chc-lia-lin-0027.smt2,sat,0.02,sat,0.03
chc-lia-lin-0028.smt2,sat,0.04,sat,0.04
chc-lia-lin-0029.smt2,sat,5.24,sat,11.69
chc-lia-lin-0030.smt2,unsat,0.01,unsat,0.01
chc-lia-lin-0031.smt2,sat,0.01,sat,0.02
chc-lia-lin-0032.smt2,sat,0.02,sat,0.03
chc-lia-lin-0033.smt2,timeout,930.03,timeout,929.94
chc-lia-lin-0034.smt2,sat,805.74,timeout,926.38
chc-lia-lin-0035.smt2,sat,673.91,timeout,926.35
chc-lia-lin-0036.smt2,sat,0.10,sat,0.21
chc-lia-lin-0037.smt2,unsat,0.05,unsat,0.06
chc-lia-lin-0038.smt2,sat,0.07,sat,0.08
chc-lia-lin-0039.smt2,sat,0.38,sat,0.51
chc-lia-lin-0040.smt2,timeout,923.19,timeout,922.80
chc-lia-lin-0041.smt2,sat,0.00,sat,0.00
chc-lia-lin-0042.smt2,sat,0.09,sat,0.15
chc-lia-lin-0043.smt2,unsat,0.22,unsat,0.33
chc-lia-lin-0045.smt2,timeout,925.81,timeout,925.54
chc-lia-lin-0046.smt2,sat,0.07,sat,0.08
chc-lia-lin-0047.smt2,sat,0.09,sat,0.10
chc-lia-lin-0048.smt2,sat,0.11,sat,0.23
chc-lia-lin-0049.smt2,unsat,0.01,unsat,0.01
chc-lia-lin-0050.smt2,timeout,925.48,timeout,924.75
chc-lia-lin-0051.smt2,unsat,0.01,unsat,0.01
chc-lia-lin-0052.smt2,unsat,0.01,unsat,0.01
chc-lia-lin-0053.smt2,unsat,0.01,unsat,0.01
chc-lia-lin-0054.smt2,timeout,923.07,sat,0.09
chc-lia-lin-0055.smt2,timeout,926.49,sat,107.18
chc-lia-lin-0056.smt2,sat,0.24,sat,0.33
chc-lia-lin-0057.smt2,sat,0.04,sat,0.06
chc-lia-lin-0058.smt2,timeout,928.85,timeout,928.79
chc-lia-lin-0059.smt2,timeout,928.81,timeout,929.39
chc-lia-lin-0060.smt2,sat,0.02,sat,0.03
chc-lia-lin-0061.smt2,sat,4.59,sat,1.94
chc-lia-lin-0062.smt2,sat,0.39,sat,0.70
chc-lia-lin-0063.smt2,unknown,2.01,unknown,1.33
chc-lia-lin-0064.smt2,timeout,922.78,timeout,920.58
chc-lia-lin-0065.smt2,sat,0.05,sat,0.05
chc-lia-lin-0066.smt2,sat,0.18,sat,0.27
chc-lia-lin-0067.smt2,sat,0.05,sat,0.05
chc-lia-lin-0068.smt2,sat,8.89,sat,5.57
chc-lia-lin-0069.smt2,timeout,926.56,timeout,925.59
chc-lia-lin-0070.smt2,unsat,0.04,unsat,0.05
chc-lia-lin-0071.smt2,sat,0.07,sat,0.08
chc-lia-lin-0072.smt2,timeout,924.88,timeout,923.44
chc-lia-lin-0073.smt2,timeout,925.90,timeout,925.93
chc-lia-lin-0074.smt2,sat,3.52,sat,6.85
chc-lia-lin-0075.smt2,sat,0.48,sat,0.41
chc-lia-lin-0076.smt2,timeout,927.81,timeout,928.38
chc-lia-lin-0077.smt2,sat,0.07,sat,0.08
chc-lia-lin-0078.smt2,sat,0.01,sat,0.01
chc-lia-lin-0079.smt2,unsat,0.01,unsat,0.01
chc-lia-lin-0080.smt2,unsat,0.01,unsat,0.01
chc-lia-lin-0081.smt2,unsat,0.01,unsat,0.01
chc-lia-lin-0082.smt2,timeout,921.60,timeout,922.47
chc-lia-lin-0083.smt2,unsat,0.01,unsat,0.01
chc-lia-lin-0084.smt2,timeout,927.24,timeout,926.55
chc-lia-lin-0085.smt2,sat,3.59,sat,5.23
chc-lia-lin-0086.smt2,timeout,929.77,timeout,927.79
chc-lia-lin-0087.smt2,sat,5.48,sat,6.47
chc-lia-lin-0088.smt2,sat,0.84,sat,2.23
chc-lia-lin-0089.smt2,unsat,0.04,unsat,0.05
chc-lia-lin-0090.smt2,sat,0.05,sat,0.06
chc-lia-lin-0091.smt2,sat,0.06,sat,0.08
chc-lia-lin-0092.smt2,sat,18.69,sat,37.31
chc-lia-lin-0093.smt2,sat,0.86,sat,1.05
chc-lia-lin-0094.smt2,unknown,0.09,unknown,0.12
chc-lia-lin-0095.smt2,sat,0.15,sat,2.06
chc-lia-lin-0096.smt2,sat,0.06,sat,0.08
chc-lia-lin-0097.smt2,unsat,0.01,unsat,0.01
chc-lia-lin-0098.smt2,sat,3.85,sat,9.56
chc-lia-lin-0099.smt2,sat,0.70,sat,0.77
chc-lia-lin-0100.smt2,sat,0.02,sat,0.02
chc-lia-lin-0101.smt2,unsat,0.01,unsat,0.02
chc-lia-lin-0102.smt2,sat,0.04,sat,0.04
chc-lia-lin-0103.smt2,sat,3.84,sat,19.71
chc-lia-lin-0104.smt2,timeout,926.36,timeout,923.38
chc-lia-lin-0105.smt2,timeout,924.32,timeout,929.65
chc-lia-lin-0106.smt2,timeout,926.18,timeout,925.70
chc-lia-lin-0107.smt2,sat,0.06,sat,0.06
chc-lia-lin-0108.smt2,sat,0.04,sat,0.04
chc-lia-lin-0109.smt2,sat,0.07,sat,0.08
chc-lia-lin-0110.smt2,sat,39.19,sat,36.61
chc-lia-lin-0111.smt2,sat,0.09,sat,0.13
chc-lia-lin-0112.smt2,sat,0.08,sat,0.09
chc-lia-lin-0113.smt2,sat,0.19,sat,0.22
chc-lia-lin-0114.smt2,sat,5.07,sat,5.90
chc-lia-lin-0115.smt2,sat,7.48,sat,7.07
chc-lia-lin-0116.smt2,sat,341.12,sat,422.25
chc-lia-lin-0117.smt2,unsat,0.01,unsat,0.02
chc-lia-lin-0118.smt2,timeout,926.67,timeout,926.44
chc-lia-lin-0119.smt2,sat,3.73,sat,3.24
chc-lia-lin-0120.smt2,sat,29.27,sat,29.03
chc-lia-lin-0121.smt2,unsat,0.02,unsat,0.02
chc-lia-lin-0122.smt2,unsat,0.02,unsat,0.02
chc-lia-lin-0123.smt2,sat,0.06,sat,0.09
chc-lia-lin-0124.smt2,sat,0.11,sat,0.11
chc-lia-lin-0125.smt2,sat,0.61,sat,0.31
chc-lia-lin-0126.smt2,timeout,928.26,timeout,928.21
chc-lia-lin-0127.smt2,sat,2.18,sat,2.35
chc-lia-lin-0128.smt2,timeout,928.67,timeout,928.10
chc-lia-lin-0129.smt2,timeout,927.69,unsat,140.17
chc-lia-lin-0130.smt2,sat,256.16,timeout,927.21
chc-lia-lin-0131.smt2,unsat,0.02,unsat,0.02
chc-lia-lin-0132.smt2,unsat,0.02,unsat,0.02
chc-lia-lin-0133.smt2,unsat,0.02,unsat,0.02
chc-lia-lin-0134.smt2,unsat,0.02,unsat,0.02
chc-lia-lin-0135.smt2,unsat,0.02,unsat,0.02
chc-lia-lin-0136.smt2,unsat,0.02,unsat,0.02
chc-lia-lin-0137.smt2,unsat,0.02,unsat,0.02
chc-lia-lin-0138.smt2,sat,0.01,sat,0.01
chc-lia-lin-0139.smt2,unsat,0.02,unsat,0.02
chc-lia-lin-0140.smt2,sat,0.10,sat,0.14
