index,result,time,csm_result,csm_time
chc-lia-lin-arr-0000.smt2,unsat,0.20,unsat,0.75
chc-lia-lin-arr-0001.smt2,unsat,0.03,unsat,0.05
chc-lia-lin-arr-0002.smt2,unsat,0.01,unsat,0.02
chc-lia-lin-arr-0003.smt2,unsat,0.05,unsat,0.12
chc-lia-lin-arr-0004.smt2,unsat,0.04,unsat,0.07
chc-lia-lin-arr-0005.smt2,unsat,0.05,unsat,0.09
chc-lia-lin-arr-0006.smt2,unsat,0.03,unsat,0.05
chc-lia-lin-arr-0007.smt2,unsat,0.05,unsat,0.07
chc-lia-lin-arr-0008.smt2,unsat,0.05,unsat,0.13
chc-lia-lin-arr-0009.smt2,unsat,0.09,unsat,0.19
chc-lia-lin-arr-0010.smt2,unsat,0.07,unsat,0.11
chc-lia-lin-arr-0011.smt2,timeout,927.52,timeout,928.54
chc-lia-lin-arr-0012.smt2,timeout,928.41,timeout,928.30
chc-lia-lin-arr-0013.smt2,unsat,0.07,unsat,0.23
chc-lia-lin-arr-0014.smt2,timeout,919.99,unknown,80.73
chc-lia-lin-arr-0015.smt2,timeout,922.54,timeout,923.54
chc-lia-lin-arr-0016.smt2,timeout,926.47,timeout,929.10
chc-lia-lin-arr-0017.smt2,timeout,927.28,timeout,928.95
chc-lia-lin-arr-0018.smt2,timeout,925.48,timeout,926.31
chc-lia-lin-arr-0019.smt2,timeout,921.58,timeout,924.80
chc-lia-lin-arr-0020.smt2,timeout,925.91,timeout,927.90
chc-lia-lin-arr-0021.smt2,unsat,0.03,unsat,0.05
chc-lia-lin-arr-0022.smt2,unsat,0.06,unsat,0.10
chc-lia-lin-arr-0023.smt2,timeout,927.02,timeout,928.27
chc-lia-lin-arr-0024.smt2,timeout,925.48,timeout,927.48
chc-lia-lin-arr-0025.smt2,timeout,925.98,timeout,927.40
chc-lia-lin-arr-0026.smt2,timeout,926.65,timeout,927.39
chc-lia-lin-arr-0027.smt2,unsat,0.06,unsat,0.08
chc-lia-lin-arr-0028.smt2,timeout,927.16,timeout,927.56
chc-lia-lin-arr-0029.smt2,timeout,926.19,timeout,928.63
chc-lia-lin-arr-0030.smt2,timeout,926.68,timeout,928.10
chc-lia-lin-arr-0031.smt2,timeout,927.87,timeout,928.52
chc-lia-lin-arr-0032.smt2,timeout,928.62,timeout,928.70
chc-lia-lin-arr-0033.smt2,timeout,928.58,timeout,929.48
chc-lia-lin-arr-0034.smt2,timeout,925.97,timeout,929.50
chc-lia-lin-arr-0035.smt2,unsat,0.03,unsat,0.05
chc-lia-lin-arr-0036.smt2,timeout,927.90,timeout,928.59
chc-lia-lin-arr-0037.smt2,timeout,927.32,timeout,927.64
chc-lia-lin-arr-0038.smt2,timeout,926.72,timeout,925.47
chc-lia-lin-arr-0039.smt2,timeout,925.95,timeout,929.79
chc-lia-lin-arr-0040.smt2,timeout,925.17,timeout,927.80
chc-lia-lin-arr-0041.smt2,timeout,923.50,timeout,924.83
chc-lia-lin-arr-0042.smt2,timeout,925.46,timeout,926.76
chc-lia-lin-arr-0043.smt2,timeout,928.72,timeout,928.90
chc-lia-lin-arr-0044.smt2,timeout,929.03,timeout,928.99
chc-lia-lin-arr-0045.smt2,timeout,926.28,timeout,926.48
chc-lia-lin-arr-0046.smt2,,,,
chc-lia-lin-arr-0047.smt2,timeout,921.59,timeout,925.79
chc-lia-lin-arr-0048.smt2,timeout,923.58,timeout,925.85
chc-lia-lin-arr-0049.smt2,timeout,920.97,timeout,927.58
chc-lia-lin-arr-0050.smt2,sat,0.00,sat,0.00
chc-lia-lin-arr-0051.smt2,sat,0.00,sat,0.00
chc-lia-lin-arr-0052.smt2,timeout,924.03,timeout,926.31
chc-lia-lin-arr-0053.smt2,timeout,928.31,timeout,928.88
chc-lia-lin-arr-0054.smt2,sat,0.00,sat,0.00
chc-lia-lin-arr-0055.smt2,timeout,924.94,timeout,925.53
chc-lia-lin-arr-0056.smt2,sat,0.00,sat,0.00
chc-lia-lin-arr-0057.smt2,timeout,925.00,timeout,925.81
chc-lia-lin-arr-0058.smt2,timeout,921.33,timeout,926.81
chc-lia-lin-arr-0059.smt2,sat,0.03,sat,0.04
chc-lia-lin-arr-0060.smt2,timeout,920.72,timeout,924.47
chc-lia-lin-arr-0061.smt2,sat,0.00,sat,0.00
chc-lia-lin-arr-0062.smt2,timeout,926.61,timeout,928.12
chc-lia-lin-arr-0063.smt2,sat,0.00,sat,0.00
chc-lia-lin-arr-0064.smt2,timeout,923.44,timeout,927.29
chc-lia-lin-arr-0065.smt2,timeout,926.56,timeout,926.61
chc-lia-lin-arr-0066.smt2,timeout,922.59,timeout,925.24
chc-lia-lin-arr-0067.smt2,timeout,927.36,timeout,926.68
chc-lia-lin-arr-0068.smt2,timeout,927.10,timeout,928.88
